pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,datetime,aqi,pm25_log,pm25_lag_1h,pm25_lag_2h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_roll_mean_3h,pm25_roll_std_3h,pm25_roll_mean_6h,pm25_roll_std_6h,pm25_roll_mean_12h,pm25_roll_std_12h,pm25_roll_mean_24h,pm25_roll_std_24h,pm10_lag_1h,pm10_lag_6h,nitrogen_dioxide_lag_1h,nitrogen_dioxide_lag_6h,carbon_monoxide_lag_1h,carbon_monoxide_lag_6h,wind_x,wind_y,hour_sin,hour_cos,month_sin,month_cos,stagnation_index,is_weekend,temp_diff_24h,hum_diff_24h
39.5,56.0,344.0,31.1,4.8,41.0,22.2,58.0,7.0,55.0,0.0,949.2,2026-05-08 05:00:00,111,3.7013019741124933,3.653252276470785,3.653252276470785,3.6375861597263857,3.5145260669691587,3.0007198150650303,3.339321977944068,2.8213788864092133,3.669268842351354,0.027741505867941413,3.63624786696103,0.04655070777069793,3.4574609129602063,0.22520286916919563,3.1545997141695152,0.3610460292656418,49.2,46.7,42.2,37.6,326.0,785.0,4.015035054457323,5.7340643100229425,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0.46266274676406166,0,0.8000000000000007,2.0
38.1,52.5,406.0,26.0,7.3,73.0,22.9,56.0,8.7,72.0,0.0,949.8,2026-05-08 06:00:00,107,3.66612246699132,3.7013019741124933,3.653252276470785,3.653252276470785,3.563882963939251,3.0106208860477417,3.186352633162641,2.766319109226186,3.6735589058581994,0.024873054258206555,3.6532877841363756,0.03081720896942922,3.512086044705505,0.18239478395743444,3.174590123912377,0.3758586629563384,56.0,48.3,31.1,38.6,344.0,626.0,2.6884478510620426,8.274191691767834,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0.3779507697929196,0,1.0999999999999979,1.0
35.4,55.5,495.0,18.8,10.7,118.0,24.5,52.0,8.7,83.0,0.0,950.7,2026-05-08 07:00:00,100,3.594568774642695,3.66612246699132,3.7013019741124933,3.653252276470785,3.6082115510464816,3.1612467120315646,3.0252910757955354,2.9014215940827497,3.6539977385821696,0.05438980369989238,3.6510139880690775,0.035024380760658294,3.548196216589766,0.1458561740483779,3.1983100280310084,0.3839040042381316,52.5,49.4,26.0,38.5,406.0,485.0,1.060263287624783,8.6351515192795,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0.3705741004786284,0,1.3999999999999986,0.0
33.3,97.8,552.0,12.7,13.7,156.0,26.3,48.0,9.3,99.0,0.0,951.4,2026-05-08 08:00:00,96,3.535145354171894,3.594568774642695,3.66612246699132,3.7013019741124933,3.6375861597263857,3.246490991901174,2.8678989020441064,2.827313621929028,3.5986121986019697,0.06558210867771075,3.6339405204766617,0.059379710696097,3.5722507467789923,0.11127978494942879,3.226111963536333,0.3830954203273946,55.5,49.8,18.8,38.5,495.0,384.0,-1.4548405248741467,9.185501567534782,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.3432179955506693,0,0.8000000000000007,2.0
42.4,163.4,542.0,8.9,16.0,179.0,28.0,44.0,9.8,122.0,0.0,951.6,2026-05-08 09:00:00,118,3.770459441106359,3.535145354171894,3.594568774642695,3.66612246699132,3.653252276470785,3.3214324131932926,2.8213788864092133,2.8390784635086144,3.6333911899736493,0.12236651840494707,3.6534750479159244,0.08198126055194609,3.6096696657717477,0.09331756142993117,3.2656569866487146,0.3884474238325308,97.8,49.7,12.7,40.3,552.0,335.0,-5.193208789485407,8.310871342332977,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0.3491166149172555,0,0.10000000000000142,5.0
46.3,183.9,500.0,6.2,17.8,194.0,29.6,39.0,9.2,138.0,0.0,951.7,2026-05-08 10:00:00,128,3.856510295497887,3.770459441106359,3.535145354171894,3.594568774642695,3.653252276470785,3.417726683613366,2.8213788864092133,2.8622008809294686,3.7207050302587135,0.16635949755713783,3.6873513844204417,0.11656951616282817,3.6462349667621248,0.097156749276181,3.308787462027409,0.3943944790468796,163.4,49.2,8.9,42.2,542.0,326.0,-6.836932394392025,6.156001578501496,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.3780892446566556,0,0.0,4.0
47.0,181.1,464.0,4.4,18.6,204.0,30.6,39.0,8.5,142.0,0.0,951.5,2026-05-08 11:00:00,129,3.871201010907891,3.856510295497887,3.770459441106359,3.535145354171894,3.7013019741124933,3.5145260669691587,2.8094026953624973,2.884800712846709,3.832723582504046,0.05442032485946266,3.7156678905530076,0.1390952045051622,3.675957878757019,0.10723586662268837,3.3530290585084668,0.39549250086486354,183.9,56.0,6.2,31.1,500.0,344.0,-6.698091405657136,5.233122540268097,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0.40749484325346225,0,0.5,3.0
43.9,158.3,445.0,3.4,17.8,208.0,31.7,37.0,7.7,123.0,0.0,951.4,2026-05-08 12:00:00,122,3.8044377947482086,3.871201010907891,3.856510295497887,3.770459441106359,3.66612246699132,3.563882963939251,2.791165107812717,2.884800712846709,3.8440497003846623,0.035082496788706945,3.738720445179156,0.14069413976980955,3.696004114657766,0.10686394297497358,3.395248753797446,0.3868955596350866,181.1,52.5,4.4,26.0,464.0,406.0,-4.193720569615708,6.457763373179764,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.43729170054577116,0,0.5999999999999979,2.0
41.2,142.5,432.0,3.2,16.1,206.0,32.6,31.0,6.3,125.0,0.0,951.0,2026-05-08 13:00:00,115,3.742420221041966,3.8044377947482086,3.871201010907891,3.856510295497887,3.594568774642695,3.6082115510464816,2.760009940032921,2.8903717578961645,3.806019675566022,0.06440496657724284,3.763362352912367,0.12211866962133486,3.7071881704907224,0.10382014554799456,3.4361825155061556,0.36828710045500235,158.3,55.5,3.4,18.8,445.0,495.0,-3.613531549011591,5.160657879020648,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0.5126603042523241,0,0.7000000000000028,3.0
38.8,130.4,433.0,3.7,14.7,202.0,33.2,27.0,6.4,106.0,0.0,950.6,2026-05-08 14:00:00,109,3.6838669122903918,3.742420221041966,3.8044377947482086,3.871201010907891,3.535145354171894,3.6375861597263857,2.72785282839839,2.89591193827178,3.743574976026856,0.06029373531696148,3.788149279265451,0.07087315938745439,3.7110448998710566,0.10184024819701452,3.4760164356683227,0.338869524615124,142.5,97.8,3.2,12.7,432.0,552.0,-1.764079077228794,6.1520748540052415,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0.4978198530122151,0,1.8000000000000043,-1.0
